owner,address,price,price_m2,bathrooms,size_construction,size,rooms,description,floor,exterior,preservation,reference,furniture,last_updated
Inmuebles de  Home 4 Bcn,El Poble-sec (Distrito Sants-Montjuïc. Barcelona Capital),2.000 €, 23  €/m², 2 baños,: 85 m² ,: 78 m² , 3 habs.,"
            - CONTRATOS TEMPORALES -", 3ª,Exterior,: En buen estado,: SA2842-K3847 - PARAL.LEL 3HAB DOBLES,Amueblado,"
                Actualizado el 11/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),1.950 €, 17  €/m², 2 baños,: 112 m² ,, 2 habs.,"
            Maravillosa vivienda completamente amueblada y equipada, lista para entrar a vivir, en el Gótico, al lado de Plaza Sant Jaume.", Bajo,,: En buen estado,: IF76306-I-00KFCY-W-02QOK5,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  NIU CAPITAL,Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),6.000 €, 22  €/m², 4 baños,: 264 m² ,: 264 m² , 6 habs.,"
            Maravilloso piso totalmente reformado muy bien ubicado a unos pasos de Turo Park. Dispone de 264mts2 que se distribuyen en un recibidor que da paso al amplio salón con chimenea y salida a terraza, adjunto mediante puertas corredizas encontramos el comedor con pasaplatos que nos lleva a la gran cocina office totalmente equipada, zona de servicio con habitación y baño, además salida a galería con zona de aguas. Dispone de puerta de servicio. En la zona de noche encontramos 5 habitaciones dobles y 3 baños. Habitaciones con armarios empotrados. Aire acondicionado por split y calefacción de gas por radiadores. Persianas eléctricas y ventanas con doble cristal. Finca con piscina, jardín y salón social con baño. En el precio se incluye dos plazas de parking y trastero pequeño..
        ", 5ª,Exterior,: Reformado,: 4511571-2024,NA,"
                Actualizado el 10/11/2023
            "
Inmuebles de  My Space Barcelona,El Putxet-El Farró (Distrito Sarrià-Sant Gervasi. Barcelona Capital),1.400 €, 21  €/m², 1 baño,: 65 m² ,: 60 m² , 2 habs.,"
            ¡Dale la bienvenida a un verdadero paraíso luminoso en Barcelona! Este ático te ofrece un espacio de 50m² lleno de luz y ¡dos terrazas privadas para disfrutar al máximo!", 5ª,Exterior,: En buen estado,: 4516049-COD. 102451670 REF. RYC. C02B40-LT,Amueblado,"
                Actualizado el 06/09/2023
            "
"Inmuebles de  ONE EXPERTOS GESTION INMOBILIARIA, S.L.",Centre (Sant Cugat del Vallès),1.400 €, 15  €/m², 1 baño,: 90 m² ,: 90 m² , 2 habs.,"
            Duplex 90 m²,  2 habitaciones (2 dobles, 1 tipo estudio),  1 baño, cocina (equipada), comedor, terraza (solarium), suelos parket ascensor, armarios, calefacción, puerta blindada, portero automático, vidrios dobles, año construcción 2008, carpinteria exterior aluminio, carpinteria interior lacado blanco, exterior todo, interior baño, soleado, balcón (10m), nevera,lavadora,lavaplatos,microondas,persianas eléctricas,. Plaza de parking 12 más trastero. No se aceptan mascotas
        ", 1ª,Exterior,: En buen estado,: 1398-010375,NA,"
                Actualizado el 12/11/2023
            "
Inmuebles de  VIP PISOS,Pedralbes (Distrito Les Corts. Barcelona Capital),2.350 €, 29  €/m², 2 baños,: 80 m² ,: 74 m² , 2 habs.,"
            Disponible en enero 2024: ático bombón de 80 m² amueblado - alquiler por temporada - en pedralbes - ", 8ª,Exterior,: Reformado,: 1412-002581,Amueblado,"
                Actualizado el 01/11/2023
            "
Inmuebles de  BARCINO JURIDIC,L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),1.300 €, 26  €/m², 1 baño,: 50 m² ,, 2 habs.,"
            No pierdas la oportunidad de vivir en este piso reformado hace pocos años. ", Bajo,,: En buen estado,: IF6819-223 VILLARROEL - CONSELL DE CENT ,NA,"
                Actualizado el 10/11/2023
            "
Inmuebles de  CARDONER REAL ESTATE,Centre-Passeig i Rodalies (Manresa),950 €, 7  €/m², 2 baños,: 120 m² ,: 94 m² , 3 habs.,"
            Fantàstic pis de disseny al cor de manresa.", 3ª,Exterior,: En buen estado,: SA4059-98098919,NA,"
                Actualizado el 10/10/2023
            "
Inmuebles de  SIVA SERVEIS IMMOBILIARIS,Sant Antoni (Distrito Eixample. Barcelona Capital),1.600 €, 22  €/m², 1 baño,: 70 m² ,: 63 m² , 2 habs.,"
            Bonito apartamento en 5a planta,  de 63m2 útiles en Finca Regia en centro de Barcelona junto Mercat Sant Antoni . Diseño, Completamente Reformado en 2020 Cocina office con Lavadora y lavavajillas integrado, Nevera combi y Completamente equipado con vajilla, cubertería y  utensilios de cocina,  Amplio salón-comedor en 2 ambientes, TV,  2 habitaciones dobles, Armarios, equipado  con sabanas, 1 baño completo con amplio plato de ducha y toallero calefactor y toallas. AACC frio y bomba de calor, carpintería de aluminio doble cristal, Galería terraza interior.  Buena distribución. Exterior, soleado y amueblado. Buena comunicación de metros y autobuses. Ascensor.", 5ª,Exterior,: A estrenar,: 4511610-CALABRIA/SEPÚLVEDA,Amueblado,"
                Actualizado el 06/11/2023
            "
Inmuebles de  GESPA GESTIO DE PATRIMONI,La Creu Alta (Sabadell),1.300 €, 11  €/m², 2 baños,: 117 m² ,: 106 m² , 3 habs.,"
            GESPA LLOGA fantàstic pis seminou del 2006, exterior i lluminós al costat de la plaça Creu Alta.", 3ª,Exterior,: En buen estado,: SA4413-A.8000,NA,"
                Actualizado el 19/10/2023
            "
