owner,address,price,price_m2,bathrooms,size_construction,size,rooms,description,floor,exterior,preservation,reference,furniture,last_updated
Inmuebles de  CARDONER REAL ESTATE,Ctra. de Santpedor-Bases de Manresa (Manresa),890 €, 8  €/m², 2 baños,: 110 m² ,: 100 m² , 4 habs.,"
            Fantàstic pis a estrenar.", 3ª,Exterior,: En buen estado,: SA4059-103078465,NA,"
                Actualizado el 06/11/2023
            "
Inmuebles de  PREMIUM HOUSES SITGES,Sant Sebastià-Aiguadolç (Sitges),3.500 €, 19  €/m², 2 baños,: 180 m² ,: 165 m² , 3 habs.,"
            Lujoso dúplex de 180 m2 con vistas al mar, decorado con un estilo entre provenzal y toscano, de un gusto exquisito. ", 1ª,,,: SA1988-PHS100100/7088,Amueblado,"
                Actualizado el 08/11/2023
            "
Inmuebles de  Albium Gestió S.L.,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),1.350 €, 18  €/m², 2 baños,: 75 m² ,: 69 m² , 2 habs.,"
            ** DISPONIBLE A PARTIR DE 28 DE NOVIEMBRE ** ALQUILER DE TEMPORADA ", 1ª,,,: SA344-ALB-00538/3591,Amueblado,"
                Actualizado el 10/11/2023
            "
Inmuebles de  My Space Barcelona,El Raval (Distrito Ciutat Vella. Barcelona Capital),3.200 €, 42  €/m², 2 baños,: 75 m² ,: 75 m² , 2 habs.,"
            Disponible desde el 18-05-23 al 30-04-24", Principal,,: Reformado,: 4516049-2605 RYC.C03.G8.P-LT,Amueblado,"
                Actualizado el 27/05/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Raval (Distrito Ciutat Vella. Barcelona Capital),2.000 €, 28  €/m², 1 baño,: 70 m² ,, 2 habs.,"
            Este moderno apartamento está situado en la calle de Gutenberg. La combinación de detalles acogedores y modernos, así como el mobiliario, crean un ambiente encantador y a la vez hogareño en el apartamento. Dispone de 2 amplios dormitorios con 1 cama doble o 1 cama de matrimonio y 1 baño.", Bajo,,,: IF76306-I-00KHSV-W-02QYJX,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Camp d'en Grassot-Gràcia Nova (Distrito Gràcia. Barcelona Capital),3.650 €, 40  €/m², 2 baños,: 90 m² ,, 3 habs.,"
            Este edificio es un moderno complejo de apartamentos situado en el precioso barrio de Gràcia. Los apartamentos son bastante grandes, con tres amplios dormitorios y dos baños. Además tienes tu propio balcón donde puedes disfrutar de una taza de té o leer un libro. El edificio tiene un gran aparcamiento con acceso a cargadores para coches eléctricos.", Bajo,,: En buen estado,: IF76306-I-00KNID-W-02SQXD,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),4.250 €, 67  €/m², 1 baño,: 63 m² ,, 2 habs.,"
            Exclusivo piso amueblado de diseño en Eixample, un dormitorio doble, un dormitorio individual, salón-comedor con salida a una disfrutable terracita, cocina completamente equipada y un baño completo con ducha, aire acondicionado completo y calefacción.", Bajo,,: En buen estado,: IF76306-I-00KGD5-W-02R46R,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Poble-sec (Distrito Sants-Montjuïc. Barcelona Capital),1.450 €,, 1 baño,: 60 m² ,, 1 hab,"
            Piso a estrenar decorado y transformado en su totalidad con un gusto exquisito y pensando en todos los detalles para optimizar espacio. Cocina abierta al salón. moderna que se ha diseñado de manera que su presencia engalana el piso. Amplia zona de armarios.Habitación doble con baño en suite.", Bajo,,: En buen estado,: IF76306-I-00KR76-W-02TJ85,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),4.300 €, 21  €/m², 2 baños,: 200 m² ,, 4 habs.,"
            En una ubicación privilegiada en el barrio de Galvany, encontramos esta finca, una de las pocas que aún conserva las típicas características modernistas en esta zona.  ", Bajo,,: En buen estado,: IF76306-I-00KQJ9-W-02TCPM,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),2.100 €, 46  €/m², 1 baño,: 45 m² ,, 1 hab,"
            Precioso estudio en el barrio del Born. El estudio viene con una cocina totalmente equipada y baño equipado. Wifi incluido, así como toallas y sábanas. Lavadora en el edificio, que puede utilizar en cualquier momento de forma gratuita. El edificio tiene ascensor.", Bajo,,,: IF76306-I-00KE6S-W-02QNGI,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),2.500 €, 50  €/m², 1 baño,: 50 m² ,, 1 hab,"
            Apartamento temporal situado en el corazón del borne, una de las zonas más demandadas del centro de Barcelona. Apartamento completamente equipado para garantizar una cómoda estancia. Cuenta con una terraza común con cómodos sofás y vistas únicas.", Bajo,,: En buen estado,: IF76306-I-00KN8E-W-02SMH0,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  WALTER HAUS,El Camp de l'Arpa del Clot (Distrito Sant Martí. Barcelona Capital),3.750 €, 32  €/m², 2 baños,: 115 m² ,, 2 habs.,"
            ÁTICO DE LUJO PARA ALQUILER DE TEMPORADA. DISPONIBLE SEPTIEMBRE 2023. Lujoso ático reformado para corta estancia (máximo 11 meses). Falta acabar de amueblar el salón, la terraza y el dormitorio principal. El piso tiene 115m2 y se ubica en el barrio del Clot, cerca del Distrito 22@ y del centro comercial Glóries. Recién reformado, con todos los muebles hechos a medida, acabados de gran calidad, electrodomésticos de alta gama Smeg y suelos y paredes con revestimiento Mortex.", Bajo,,: En buen estado,: IF7349-4394,Amueblado,"
                Actualizado el 06/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),1.930 €,, 1 baño,: 109 m² ,, 2 habs.,"
            Disponible inmediatamente. Piso en excelente ubicación, en la misma plaza Pla de Palau. La vivienda está totalmente equipada y amueblada lista para entrar a vivir. Hay que destacar la luminosidad de la vivienda y sus magníficas vistas despejadas a la plaza Pla de Palau. La vivienda cuenta con dos dormitorios dobles exteriores y un baño completo. El edificio tiene ascensor y hay aire acondicionado y calefacción. La cocina está totalmente equipada con todos los electrodomésticos. Tan sólo a 10 minutos andando de la playa de la Barceloneta y a 5 minutos de la parada de metro Barceloneta.", Bajo,,: En buen estado,: IF76306-I-00KP38-W-02SW4S,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  My Space Barcelona,El Putxet-El Farró (Distrito Sarrià-Sant Gervasi. Barcelona Capital),1.200 €, 21  €/m², 1 baño,: 55 m² ,: 50 m² , 2 habs.,"
            ¡Bienvenido a tu nuevo hogar en la hermosa zona alta de Barcelona! Este apartamento de 2 habitaciones está listo para darte la bienvenida durante tus estancias temporales en la ciudad.", Bajo,Exterior,: En buen estado,: 4516049-102436248,Amueblado,"
                Actualizado el 06/09/2023
            "
Inmuebles de  INES BARTRINA ROSSELL,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),1.900 €, 23  €/m², 2 baños,: 80 m² ,: 78 m² , 1 hab,"
            El duplex no tiene cedula de habitabilidad y por tanto no se puede empadronar. Ideal para oficina o alguién que no necesite estar empadronado en su vivenda.", 5ª,Exterior,: En buen estado,: SA2748-CONSELLDECENTATICO2,NA,"
                Actualizado el 18/10/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Sagrada Família (Distrito Eixample. Barcelona Capital),2.640 €, 48  €/m², 1 baño,: 55 m² ,, 1 hab,"
            Apartamentos recién remodelados y listos para estrenar, su decoración atemporal te hará sentir la calidez de tu nuevo hogar. El apartamento cuenta con 1 habitacion, un baño y una zona para trabajar. ¡Su acogedor estilo te enamorará!", Bajo,,: En buen estado,: IF76306-I-00KM4A-W-02SEON,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Les Corts (Distrito Les Corts. Barcelona Capital),1.200 €, 26  €/m², 1 baño,: 46 m² ,, 1 hab,"
            Precioso piso en alquiler en muy buenas condiciones, dispone de 46m² y un balcón corrido a un interior de manzana muy agradable.", Bajo,,,: IF76306-I-00KSJU-W-02TUUL,NA,"
                Actualizado el 11/11/2023
            "
Inmuebles de  NOA LUXURY PROPERTIES,El Poblenou (Distrito Sant Martí. Barcelona Capital),8.000 €, 33  €/m², 3 baños,: 240 m² ,: 200 m² , 3 habs.,"
            Noa Luxury Properties presenta este exclusivo Piso con vistas panorámicas de 240m2 construidos, en primera línea de mar en el barrio residencial de Diagonal Mar, Barcelona , España.  Una propiedad espaciosa   ,   con materiales de calidad y un diseño moderno.", Más de 20,,,: SA4903-1201/9771,Amueblado,"
                Actualizado el 07/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),4.350 €, 60  €/m², 1 baño,: 72 m² ,, 2 habs.,"
            Piso temporal en edificio de obra nueva recién terminado. El apartamento consta de un amplio salon comedor con cocina abierta y dos dormitorios. Ambos dormitorios comparten un baño común. Hay que descatar la luminosidad de los pisos con vistas a la emblemática Sagrada Familia. El edificio de obra nueva cuenta con ascensor y todas las facilidades necesarias. Sin duda, un apartamento perfecto para aquellos que buscan estar conectados con la ciudad en un oasis de paz y tranquilidad.", Bajo,,: En buen estado,: IF76306-I-00KJLG-W-02RW8D,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Sagrada Família (Distrito Eixample. Barcelona Capital),2.500 €, 41  €/m², 1 baño,: 60 m² ,, 2 habs.,"
            Moderno apartamento reformado y amueblado. ", Bajo,,,: IF76306-I-00KRKK-W-02TIJ5,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),6.000 €, 37  €/m², 2 baños,: 160 m² ,, 3 habs.,"
            Excepcional piso amueblado con gusto exquisito, que conserva detalles originales de la finca. Tiene un amplio salón comedor, semi integrado con una cocina completamente equipada. ", Bajo,,: En buen estado,: IF76306-I-00KGL3-W-02R4V9,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),3.650 €, 20  €/m², 3 baños,: 174 m² ,, 4 habs.,"
            Magnífica propiedad con terraza, muy soleada en calle Aribau.", Bajo,,: En buen estado,: IF76306-I-00KO38-W-02O4L8,NA,"
                Actualizado el 10/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),4.200 €, 26  €/m², 2 baños,: 157 m² ,, 2 habs.,"
            En una antigüa finca reformada se encuentra este amplio piso, que combina estructuras antiguas con piezas y complementos actuales.", Bajo,,: En buen estado,: IF76306-I-00KGKZ-W-02R4V6,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  My Space Barcelona,El Putxet-El Farró (Distrito Sarrià-Sant Gervasi. Barcelona Capital),1.200 €, 21  €/m², 1 baño,: 55 m² ,: 50 m² , 2 habs.,"
            ¡Bienvenido a tu nuevo hogar en la hermosa zona alta de Barcelona! Este apartamento de 2 habitaciones está listo para darte la bienvenida durante tus estancias temporales en la ciudad.", Bajo,,: En buen estado,: 4516049-RYC.C02FP80 LT,Amueblado,"
                Actualizado el 06/09/2023
            "
Inmuebles de  My Space Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),1.500 €, 33  €/m², 1 baño,: 45 m² ,: 45 m² , 1 hab,"
            Piso en alquiler sin amueblar en Calle Valencia", 4ª,Exterior,: A estrenar,: 4516049-002627,NA,"
                Actualizado el 26/05/2023
            "
Inmuebles de  INES BARTRINA ROSSELL,La Sagrada Família (Distrito Eixample. Barcelona Capital),2.200 €, 14  €/m², 2 baños,: 150 m² ,: 146 m² , 5 habs.,"
            ¡Bienvenidos a su nuevo hogar en el barrio del Camp de l'Arpa! Este excelente piso de cinco habitaciones está disponible a partir del 1 de Febrero de 2024. Con una reforma moderna y de calidad, este inmueble es ideal para compartir con amigos o familiares. ", 1ª,Exterior,: En buen estado,: SA2748-VALENCIA 527 ENTRESUELO,NA,"
                Actualizado el 13/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),2.500 €, 21  €/m², 2 baños,: 117 m² ,, 2 habs.,"
            Piso temporal completamente amueblado y equipado en el centro de la ciudad. Ideal para parejas o personas solas. Una vivienda a doble viento, que consta de un amplio y luminoso salón con 2 balcones exteriores, cocina independiente, 1 habitación principal, 1 habitación de invitados (la cual se puede abrir o cerrar para aprovechar al máximo el espacio), 1 baño completo y 1 aseo complementario. Climatizado con calefacción de gas y aire acondicionado. Suelos en parquet natural. Se solicitará perfil y solvencia.", Bajo,,,: IF76306-I-00KQ46-W-02PKE5,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  INMOSERVICE BARCELONA,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),1.200 €, 28  €/m², 1 baño,: 42 m² ,: 37 m² , 1 hab,"
            Piso totalmente exterior y muy luminoso en el corazón del Barrio de Gracia.", 3ª,,,: SA1366-ISBMP187AG/2015,Amueblado,"
                Actualizado el 07/11/2023
            "
Inmuebles de  My Space Barcelona,El Raval (Distrito Ciutat Vella. Barcelona Capital),2.800 €, 40  €/m², 2 baños,: 70 m² ,: 70 m² , 2 habs.,"
            Disponible del 07-06-23 al 31-05-24", 1ª,,: Reformado,: 4516049-2605 RYC.C03.G8.1.3-LT,Amueblado,"
                Actualizado el 26/05/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Raval (Distrito Ciutat Vella. Barcelona Capital),3.100 €, 31  €/m², 1 baño,: 100 m² ,, 2 habs.,"
            El apartamento tiene dos habitaciones, una habitación doble, una sencilla, y un baño, este apartamento es perfecto para parejas con un solo hijo, o para tener una habitación extra para invitados. La característica principal de este apartamento es su maravillosa terraza privada de 55mt2, ideal para estar con amigos o simplemente tomar el sol.", Bajo,,: En buen estado,: IF76306-I-00KJQ5-W-02QRTK,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),2.400 €, 30  €/m², 1 baño,: 80 m² ,, 3 habs.,"
            El piso amueblado con muy buen gusto, con vistas espetaculares desde una quinta planta, con dos balcones en el salón. Consta de 80 metros, muy bien distribuidos entre salón comedor, cocina totalmente equipada, una habitacion doble, dos individuales y un baño. Aire condicionado en el salón, caleffacion a gás,  doble cristal. Listo para entrar a vivír. No se acepta para compartir. Familias, parejas o ejecutivos. No aceptan mascotas.", Bajo,,,: IF76306-I-00KRU6-W-02TN8G,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sarrià (Distrito Sarrià-Sant Gervasi. Barcelona Capital),2.500 €, 41  €/m², 1 baño,: 60 m² ,, 1 hab,"
            Gran edificio en el corazón del barrio de Sarrià. Vivienda tipo estudio, muy luminoso, con terraza privada ubicado en maravillosa zona residencial de Barcelona, cerca de colegios internacionales y muy bien comunicado con el transporte público. La vivienda cuenta con un salón totalmente equipado, cocina office equipada con electrodomésticos de alta gama, un amplio salón decorado con mobiliario de calidad e iluminación de diseño, Tv  y salida al balcón para disfrutar del sol. La vivienda cuenta con un dormitorio doble, aire acondicionado y calefacción central. Dispone de zona comunitaria con jardín y solárium estilo lounge. Piso único por su emplazamiento, su distribución y sus acabados.  Aparcamiento en el mismo edificio no incluido en el precio.", Bajo,,: En buen estado,: IF76306-I-00KIPX-W-02RJPE,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),1.500 €, 38  €/m², 1 baño,: 39 m² ,, 1 hab,"
            En una finca regia de Rambla Catalunya, una de las calles más prestigiosas de Barcelona, encontramos este funcional y práctico apartamento que destaca por su luminosidad, al tratarse de una planta alta con salida al balcón exterior y vistas directas a la concurrida Rambla Catalunya y Plaça Catalunya.", Bajo,,: En buen estado,: IF76306-I-00KRVA-W-02TPRJ,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Horaxia Plus SL,Zona Universitària-Gran Via Mar-Camí Ral (Castelldefels),1.600 €, 20  €/m², 2 baños,: 80 m² ,, 2 habs.,"
            ¡A estrenar! En Urbanización Rat Penat. Magnífico apartamento con terrazas con vistas al mar y la montaña. Totalmente amueblado y equipado. 2 dormitorios, 2 baños, cocina con electrodomésticos, salón comedor y 2 terrazas de 12 y 35 m². Jardín de 30 m² con barbacoa. Todo exterior. Completamente reformado a estrenar. Equipado con calefacción, aire acondicionado. Finca de solo 2 vecinos.Posibilidad de hacerse socio del Club deportivo con pistas de paddle, frontón y piscina.Zona residencial muy tranquila, con servicio de vigilancia. A 5 minutos de la playa y Port Ginesta. Con accesos directos a C31, C32, a 10 minutos aeropuerto.INCLUYE consumo de agua, osmosis, descalcificador y WIFI con paquete de TV, fútbol y teléfono fijo..
        ", 1ª,,: Reformado,: INB356-620-HX2049R,Amueblado,"
                Actualizado el 13/11/2023
            "
Inmuebles de  Assessoria del Bages,Poble Nou (Manresa),800 €, 6  €/m², 2 baños,: 115 m² ,: 90 m² , 1 hab,"
            Bonito piso tipo dúplex de 1 habitación con garaje.", Bajo,,,: SA2264-PR01121/7786,Amueblado,"
                Actualizado el 06/11/2023
            "
Inmuebles de  Immomax TAC Gestió,L'Ametlla del Vallès,700 €, 12  €/m², 1 baño,: 57 m² ,: 56 m² , 2 habs.,"
            Superf. 57 m², útil 56 m²,  3 habitaciones (2 dobles),  1 baño, cocina (7m), lavadero, comedor (20,8m), suelos Gres, calefacción, portero automático, vidrios dobles, año construcción 1970, agua, luz, gas, carpintería exterior Alum., aire acondicionado, exterior, soleado, teléfono, balcón, Estado certificación: .
        ", 1ª,Exterior,: En buen estado,: 2088-TA001958,NA,"
                Actualizado el 07/11/2023
            "
Inmuebles de  PERITAX,Centre (Distrito Centre-Covadonga. Sabadell),1.650 €, 13  €/m², 2 baños,: 125 m² ,: 100 m² , 3 habs.,"
            Peritax Inmobiliaria presenta esta increíble propiedad en pleno corazón del Centre de Sabadell, justo al lado de la Vía Massagué. Con una superficie total construida de 125m2, este amplio piso cuenta con una impresionante reforma integral que lo convierte en un verdadero hogar moderno y acogedor. ", 1ª,,,: SA730-A1177/2691,NA,"
                Actualizado el 04/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),2.200 €, 25  €/m², 2 baños,: 88 m² ,, 3 habs.,"
            Consta de tres  dormitorios,  Uno exterior en Suite, con cama de matrimonio, armarios dobles y salida a la terraza. Otro interior con cama doble  y armario, y otra interior con cama individual y armario.", Bajo,,,: IF76306-I-00KSPP-W-02TTLR,Amueblado,"
                Actualizado el 09/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),1.800 €, 18  €/m², 2 baños,: 100 m² ,, 3 habs.,"
            Piso de alquiler temporal de 1 año en adelante, suministros aparte.", Bajo,,: En buen estado,: IF76306-I-00KQJ7-W-02T9H7,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),3.100 €, 38  €/m², 2 baños,: 80 m² ,, 2 habs.,"
            Este edificio está situado justo al lado de la famosa calle Via Laietana. Totalmente renovado pero sigue dando una sensación de autenticidad. Este apartamento tiene dos amplios dormitorios, un baño completo, balconeras julietas en el salón comedor y la habitación principal. El apartamento tiene luz natural, un techo maravilloso con vigas de madera originales y suelos hidráulicos que datan de 1860 ubicados tanto en las habitaciones como en el salón comedor.", Bajo,,,: IF76306-I-00KH1K-W-02QPC6,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),2.200 €, 20  €/m², 2 baños,: 108 m² ,, 3 habs.,"
            Edificio nuevo en zona residencial, cuenta con soleado salón -  comedor y moderna cocina, con salida a amplia terraza. ", Bajo,,,: IF76306-I-00KSEJ-W-02TTUA,Amueblado,"
                Actualizado el 06/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),1.450 €, 26  €/m², 1 baño,: 54 m² ,, 2 habs.,"
            Luminoso piso de diseño, totalmente amueblado y equipado, en un principal, pero es un segundo real. La finca dispone de ascensor.", Bajo,,: En buen estado,: IF76306-I-00KS2D-W-02PKXE,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),3.100 €, 38  €/m², 1 baño,: 80 m² ,, 2 habs.,"
            Este edificio está situado justo al lado de la famosa calle Via Laietana. Totalmente renovado pero sigue dando una sensación de autenticidad. Este apartamento tiene dos amplios dormitorios, un baño completo, balconeras julietas en el salón comedor y la habitación principal. El apartamento tiene luz natural, un techo maravilloso con vigas de madera originales y suelos hidráulicos que datan de 1860 ubicados tanto en las habitaciones como en el salón comedor.&amp;#xD;&amp;#xA;&amp;#xD;&amp;#xA;Nuestro precio de alquiler incluye el apartamento amueblado y totalmente equipado, el consumo responsable de los servicios públicos (agua, electricidad, gas), internet de alta velocidad y asistencia 24/7 durante toda la estancia.", Bajo,,,: IF76306-I-00KHXU-W-02RGG3,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Camp d'en Grassot-Gràcia Nova (Distrito Gràcia. Barcelona Capital),3.200 €, 45  €/m², 1 baño,: 70 m² ,, 2 habs.,"
            Este edificio es un moderno complejo de apartamentos situado en el precioso barrio de Gràcia. Los apartamentos son bastante grandes, con dos amplios dormitorios y dos baños. Además tienes tu propio balcón donde puedes disfrutar de una taza de té o leer un libro. El edificio tiene un gran aparcamiento con acceso a cargadores para coches eléctricos.", Bajo,,: En buen estado,: IF76306-I-00KI8C-W-02RFYB,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Poblenou (Distrito Sant Martí. Barcelona Capital),2.775 €, 25  €/m², 2 baños,: 107 m² ,, 3 habs.,"
            ALQUILER DE TEMPORADA 11 o más meses", Bajo,,: En buen estado,: IF76306-I-00KRDL-W-02TJPJ,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),1.900 €, 18  €/m², 2 baños,: 105 m² ,, 3 habs.,"
            Precioso atico totalmente reformado a estrenar de 105 m2 aprox en el Eixample. La propiedad consta de un gran salón comedor con suelo impecable de mármol que da paso a una agradable terraza alargada de 15 m2 aprox. Este ático cuenta con 3 habitaciones, 2 dobles que cuentan con armarios empotrados. La tercera habitación es individual. Tiene dos baño completos, uno de ellos en suite. La orientación de la terraza es muy agradable y silenciosa, ya que da a un patio de manzana con una vista abierta y donde no se oye nada de tráfico. La cocina está nueva a estrenar y cuenta con una mesa de desayunos muy bonita y una amplia zona de almacenaje. El lavadero es independiente y tiene zona de tendedero. El ático cuenta con aire acondicionado (split) y radiadores. La finca cuenta con ascensor y servicio de conserjería. Hay una plaza de parking  opcional por 100€ en la misma finca a la que se puede acceder directamente por uno de los ascensores de la finca.", Bajo,,: En buen estado,: IF76306-I-00KNL3-W-02SNCL,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),2.900 €, 44  €/m², 1 baño,: 65 m² ,, 1 hab,"
            Frente al Port Vell, junto a Barceloneta, encontramos este piso totalmente equipado para entrar a vivir. Consta de un amplio salón integrado con la cocina, un dormitorio doble y un baño completo. ", Bajo,,: En buen estado,: IF76306-I-00KGL1-W-02R4V8,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Gervasi-La Bonanova (Distrito Sarrià-Sant Gervasi. Barcelona Capital),12.023 €, 47  €/m², 4 baños,: 253 m² ,, 5 habs.,"
            En complejo residencial situado a los pies de la montaña del Tibidabo con acceso a más de 17.000 m² de zonas ajardinadas, piscinas, pistas de pádel, polideportivo y zona infantil, encontramos este acogedor piso totalmente exterior y muy luminoso.", Bajo,,: En buen estado,: IF76306-I-00KSDI-W-02TUP8,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Camp d'en Grassot-Gràcia Nova (Distrito Gràcia. Barcelona Capital),3.200 €, 45  €/m², 1 baño,: 70 m² ,, 2 habs.,"
            Este edificio es un moderno complejo de apartamentos situado en el precioso barrio de Gràcia. Los apartamentos son bastante grandes, con dos amplios dormitorios y dos baños. Además tienes tu propio balcón donde puedes disfrutar de una taza de té o leer un libro. El edificio tiene un gran aparcamiento con acceso a cargadores para coches eléctricos.", Bajo,,: En buen estado,: IF76306-I-00KHTW-W-02RF48,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),4.350 €, 60  €/m², 1 baño,: 72 m² ,, 2 habs.,"
            Piso temporal en edificio de obra nueva recién terminado. El apartamento consta de un amplio salon comedor con cocina abierta y dos dormitorios. Ambos dormitorios comparten un baño común. Hay que descatar la luminosidad de los pisos con vistas a la emblemática Sagrada Familia. El edificio de obra nueva cuenta con ascensor y todas las facilidades necesarias. Sin duda, un apartamento perfecto para aquellos que buscan estar conectados con la ciudad en un oasis de paz y tranquilidad.", Bajo,,: En buen estado,: IF76306-I-00KJKW-W-02RW29,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),2.400 €, 13  €/m², 2 baños,: 179 m² ,, 4 habs.,"
            En una finca regia con conserje y ascensor, encontramos esta amplia propiedad sin muebles con múltiples posibilidades. Consta de 179 m2 construidos distribuidos en estancias amplias y con techos altos. La zona de noche consta de tres habitaciones dobles, de las cuales dos con balcón a la calle y una a patio de luces, además de un espacio adicional para biblioteca o vestidor. Entramos en un amplio espacio con ventanales típicos y pequeño trastero, aparte de un aseo de cortesía y una pequeña cocina independiente. Complementa el piso un bonito salón comedor con vistas a patio de manzana, el baño principal con plato de ducha y una habitación exterior con terraza de aprox. 12 m2. Se puede considerar el arrendamiento como vivienda o despacho.", Bajo,,: A reformar,: IF76306-I-00KL42-W-02S50P,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),1.900 €, 42  €/m², 1 baño,: 45 m² ,, 2 habs.,"
            El piso está ubicado en el Centro de Barcelona en el barrio de la Barceloneta de Ciutat Vella. Tiene 2 dormitorios y está totalmente amueblado y equipado con todo lo necesario.", Bajo,,: En buen estado,: IF76306-I-00KN58-W-02SO8V,Amueblado,"
                Actualizado el 03/11/2023
            "
